CORRECTED Puzzle Boundaries - Dataset Indices where new puzzles start
(Fixed offset issue for puzzle identifiers >= 368148)
================================================================================
Index      Base Puzzle Name     Count      Range
--------------------------------------------------------------------------------
0          7c9b52a0             778        [0-777]
778        2a5f8217             1001       [778-1778]
1779       477d2879             1001       [1779-2779]
2780       b15fca0b             1001       [2780-3780]
3781       e5790162             1001       [3781-4781]
4782       4364c1c4             1001       [4782-5782]
5783       <blank>              1          [5783-5783]
5784       8ba14f53             1001       [5784-6784]
6785       b9630600             72         [6785-6856]
6857       15696249             1001       [6857-7857]
7858       8cb8642d             1001       [7858-8858]
8859       3d31c5b3             1001       [8859-9859]
9860       33b52de3             1001       [9860-10860]
10861      d931c21c             1001       [10861-11861]
11862      3ed85e70             1001       [11862-12862]
12863      af22c60d             1001       [12863-13863]
13864      5207a7b5             1001       [13864-14864]
14865      0934a4d8             1001       [14865-15865]
15866      e7b06bea             1001       [15866-16866]
16867      20981f0e             576        [16867-17442]
17443      2b01abd0             1001       [17443-18443]
18444      55783887             1001       [18444-19444]
19445      1a2e2828             1001       [19445-20445]
20446      b7fb29bc             1001       [20446-21446]
21447      ef26cbf6             1001       [21447-22447]
22448      9772c176             576        [22448-23023]
23024      f5aa3634             1001       [23024-24024]
24025      3194b014             1001       [24025-25025]
25026      0becf7df             1001       [25026-26026]
26027      f9d67f8b             1001       [26027-27027]
27028      b1fc8b8e             72         [27028-27099]
27100      00576224             1001       [27100-28100]
28101      fd4b2b02             575        [28101-28675]
28676      4c177718             1001       [28676-29676]
29677      94414823             1001       [29677-30677]
30678      ac605cbb             1001       [30678-31678]
31679      45737921             1001       [31679-32679]
32680      fd096ab6             1001       [32680-33680]
33681      7ee1c6ea             1001       [33681-34681]
34682      ac3e2b04             1001       [34682-35682]
35683      212895b5             1001       [35683-36683]
36684      981571dc             1001       [36684-37684]
37685      4e45f183             1001       [37685-38685]
38686      4b6b68e5             1001       [38686-39686]
39687      e2092e0c             1001       [39687-40687]
40688      67636eac             1001       [40688-41688]
41689      5b526a93             575        [41689-42263]
42264      f3cdc58f             1001       [42264-43264]
43265      20818e16             1001       [43265-44265]
44266      310f3251             1001       [44266-45266]
45267      12eac192             1001       [45267-46267]
46268      332efdb3             9          [46268-46276]
46277      f3e62deb             1001       [46277-47277]
47278      60c09cac             1001       [47278-48278]
48279      770cc55f             1001       [48279-49279]
49280      11e1fe23             1001       [49280-50280]
50281      712bf12e             576        [50281-50856]
50857      1c0d0a4b             576        [50857-51432]
51433      d304284e             576        [51433-52008]
52009      e0fb7511             576        [52009-52584]
52585      29700607             1001       [52585-53585]
53586      ed74f2f2             1001       [53586-54586]
54587      195ba7dc             1001       [54587-55587]
55588      93c31fbe             1001       [55588-56588]
56589      705a3229             1001       [56589-57589]
57590      14754a24             1001       [57590-58590]
58591      639f5a19             1001       [58591-59591]
59592      50f325b5             1001       [59592-60592]
60593      c3202e5a             1001       [60593-61593]
61594      aa18de87             1001       [61594-62594]
62595      319f2597             1001       [62595-63595]
63596      42a15761             72         [63596-63667]
63668      15113be4             1001       [63668-64668]
64669      e66aafb8             1001       [64669-65669]
65670      b0722778             1001       [65670-66670]
66671      fc754716             1001       [66671-67671]
67672      2c0b0aff             576        [67672-68247]
68248      d2acf2cb             1001       [68248-69248]
69249      5af49b42             1001       [69249-70249]
70250      0607ce86             1001       [70250-71250]
71251      1c02dbbe             1001       [71251-72251]
72252      f83cb3f6             1001       [72252-73252]
73253      a04b2602             1001       [73253-74253]
74254      95a58926             1001       [74254-75254]
75255      e9bb6954             1001       [75255-76255]
76256      73182012             1001       [76256-77256]
77257      bf32578f             1001       [77257-78257]
78258      03560426             1001       [78258-79258]
79259      0d87d2a6             576        [79259-79834]
79835      85fa5666             1001       [79835-80835]
80836      a57f2f04             1001       [80836-81836]
81837      b4a43f3b             1001       [81837-82837]
82838      2685904e             1001       [82838-83838]
83839      a3f84088             576        [83839-84414]
84415      c6e1b8da             1001       [84415-85415]
85416      48131b3c             1001       [85416-86416]
86417      3979b1a8             1001       [86417-87417]
87418      992798f6             1001       [87418-88418]
88419      dd2401ed             1001       [88419-89419]
89420      4f537728             1001       [89420-90420]
90421      92e50de0             1001       [90421-91421]
91422      762cd429             1001       [91422-92422]
92423      ce8d95cc             1001       [92423-93423]
93424      ecaa0ec1             1001       [93424-94424]
